lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
12/18/2024,$1.62,time-after-hours,MU,"Micron Technology, Inc.","$266,585,683,313",Nov/2025,$3.67,7,3.67,1.62,7.0,2025-12-17
N/A,N/A,time-not-supplied,JBS,JBS N.V.,"$31,563,795,945",Sep/2025,$0.54,1,0.54,,1.0,2025-12-17
12/18/2024,$1.40,time-pre-market,GIS,"General Mills, Inc.","$25,102,576,819",Nov/2025,$1.02,8,1.02,1.4,8.0,2025-12-17
12/18/2024,$1.67,time-pre-market,JBL,Jabil Inc.,"$23,633,487,318",Nov/2025,$2.27,3,2.27,1.67,3.0,2025-12-17
12/18/2024,$0.95,time-pre-market,TTC,Toro Company (The),"$7,190,910,268",Oct/2025,$0.86,2,0.86,0.95,2.0,2025-12-17
12/18/2024,$0.90,time-pre-market,ABM,ABM Industries Incorporated,"$2,889,015,166",Oct/2025,$1.10,3,1.1,0.9,3.0,2025-12-17
12/18/2024,$0.40,time-after-hours,EPAC,Enerpac Tool Group Corp.,"$2,118,202,209",Nov/2025,$0.38,1,0.38,0.4,1.0,2025-12-17
12/18/2024,$0.19,time-after-hours,WS,"Worthington Steel, Inc.","$1,802,031,871",Nov/2025,$0.48,1,0.48,0.19,1.0,2025-12-17
12/18/2024,$0.55,time-after-hours,MLKN,"MillerKnoll, Inc.","$1,140,085,839",Nov/2025,$0.41,2,0.41,0.55,2.0,2025-12-17
10/30/2024,$0.37,time-not-supplied,CODI,Compass Diversified ,"$364,894,435",Sep/2025,$0.56,1,0.56,0.37,1.0,2025-12-17
3/03/2025,($0.63),time-pre-market,SPIR,"Spire Global, Inc.","$310,825,752",Sep/2025,,N/A,,,,2025-12-17
N/A,$0.07,time-not-supplied,ALPS,ALPS Group Inc,"$155,234,864",Sep/2025,,1,,0.07,1.0,2025-12-17
N/A,$0.15,time-after-hours,OPXS,"Optex Systems Holdings, Inc.","$98,242,583",Sep/2025,,1,,0.15,1.0,2025-12-17
11/20/2024,($21.74),time-not-supplied,ARBK,Argo Blockchain plc,"$75,615,744",Sep/2025,($21.74),1,,,1.0,2025-12-17
11/06/2024,$0.11,time-not-supplied,PETS,"PetMed Express, Inc.","$60,314,654",Sep/2025,$0.04,1,0.04,0.11,1.0,2025-12-17
12/16/2024,($0.60),time-pre-market,VERU,Veru Inc.,"$35,014,437",Sep/2025,($0.50),2,,,2.0,2025-12-17
N/A,($0.20),time-not-supplied,YI,"111, Inc.","$30,682,723",Sep/2025,,1,,,1.0,2025-12-17
12/18/2024,($0.11),time-not-supplied,NRSN,NeuroSense Therapeutics Ltd.,"$24,778,488",Sep/2025,,N/A,,,,2025-12-17
N/A,($0.02),time-after-hours,JOB,GEE Group Inc.,"$20,788,516",Sep/2025,,1,,,1.0,2025-12-17
N/A,N/A,time-not-supplied,YCBD,"cbdMD, Inc.","$10,695,551",Sep/2025,,1,,,1.0,2025-12-17
N/A,$2.08,time-not-supplied,NAAS,Naas Technology Inc.,"$8,594,776",Sep/2025,,1,,2.08,1.0,2025-12-17
