lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
10/21/2024,($0.16),time-not-supplied,LU,Lufax Holding Ltd,"$2,235,931,200",Sep/2025,,N/A,,,,2025-12-22
N/A,$0.39,time-not-supplied,EBF,"Ennis, Inc.","$470,049,633",Nov/2025,,1,,0.39,1.0,2025-12-22
N/A,$1.91,time-not-supplied,BNED,"Barnes & Noble Education, Inc","$293,544,161",Oct/2025,,1,,1.91,1.0,2025-12-22
N/A,($0.05),time-not-supplied,KNDI,"Kandi Technologies Group, Inc.","$85,611,069",Sep/2025,,1,,,1.0,2025-12-22
N/A,$0.05,time-not-supplied,OCC,Optical Cable Corporation,"$74,511,730",Oct/2025,,1,,0.05,1.0,2025-12-22
11/18/2024,$0.19,time-not-supplied,ZENV,Zenvia Inc.,"$65,956,985",Sep/2025,,N/A,,0.19,,2025-12-22
12/23/2024,($0.04),time-not-supplied,BLIN,"Bridgeline Digital, Inc.","$11,506,465",Sep/2025,($0.06),1,,,1.0,2025-12-22
12/23/2024,($0.11),time-after-hours,LMNR,Limoneira Co,"$271,987,791",Oct/2025,($0.17),1,,,1.0,2025-12-23
N/A,($0.33),time-not-supplied,SIF,"SIFCO Industries, Inc.","$42,582,873",Sep/2025,,1,,,1.0,2025-12-23
N/A,$0.07,time-not-supplied,IH,iHuman Inc.,"$110,771,393",Sep/2025,,N/A,,0.07,,2025-12-25
12/27/2024,($0.77),time-not-supplied,OTLK,"Outlook Therapeutics, Inc.","$96,390,378",Sep/2025,($0.23),3,,,3.0,2025-12-26
N/A,$0.10,time-not-supplied,BDL,"Flanigan's Enterprises, Inc.","$57,618,057",Sep/2025,,3,,0.1,3.0,2025-12-26
N/A,N/A,time-not-supplied,CTXR,"Citius Pharmaceuticals, Inc.","$18,032,922",Sep/2025,,3,,,3.0,2025-12-26
