lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate,eps_ratio
12/18/2024,$1.62,time-after-hours,MU,"Micron Technology, Inc.","$266,585,683,313",Nov/2025,$3.67,7,3.67,1.62,7.0,2025-12-17,2.265432098765432
12/18/2024,$1.40,time-pre-market,GIS,"General Mills, Inc.","$25,102,576,819",Nov/2025,$1.02,8,1.02,1.4,8.0,2025-12-17,0.7285714285714286
