lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
11/07/2024,N/A,time-pre-market,LIEN,"Chicago Atlantic BDC, Inc.","$233,454,636",Sep/2025,$0.35,1,0.35,,1.0,2025-11-13
N/A,$8.80,time-not-supplied,PNRG,PrimeEnergy Resources Corporation,"$219,531,370",Sep/2025,,1,,8.8,1.0,2025-11-13
N/A,N/A,time-after-hours,CV,"CapsoVision, Inc.","$214,692,968",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.04,time-pre-market,SUIG,Sui Group Holdings Limited,"$207,739,939",Sep/2025,,1,,0.04,1.0,2025-11-13
N/A,$0.47,time-not-supplied,SNFCA,Security National Financial Corporation,"$206,820,557",Sep/2025,,1,,0.47,1.0,2025-11-13
11/06/2024,($2.66),time-after-hours,SPCE,"Virgin Galactic Holdings, Inc.","$201,568,378",Sep/2025,($1.50),2,,,2.0,2025-11-13
N/A,$0.33,time-not-supplied,SWKH,SWK Holdings Corporation,"$196,058,891",Sep/2025,,1,,0.33,1.0,2025-11-13
N/A,$0.59,time-not-supplied,SMID,Smith-Midland Corporation,"$194,838,178",Sep/2025,,1,,0.59,1.0,2025-11-13
11/14/2024,($0.82),time-not-supplied,DPRO,Draganfly Inc.,"$191,745,578",Sep/2025,($0.19),1,,,1.0,2025-11-13
11/06/2024,($0.55),time-after-hours,NYXH,Nyxoah SA,"$189,756,234",Sep/2025,($0.61),3,,,3.0,2025-11-13
N/A,$0.10,time-not-supplied,GRAF,Graf Global Corp.,"$186,888,969",Sep/2025,,1,,0.1,1.0,2025-11-13
11/14/2024,$0.03,time-not-supplied,PLX,"Protalix BioTherapeutics, Inc.","$186,573,149",Sep/2025,$0.05,2,0.05,0.03,2.0,2025-11-13
11/14/2024,$0.23,time-not-supplied,FTLF,"FitLife Brands, Inc.","$186,412,779",Sep/2025,$0.25,1,0.25,0.23,1.0,2025-11-13
11/14/2024,($0.94),time-not-supplied,INV,"Innventure, Inc.","$184,884,328",Sep/2025,($0.16),3,,,3.0,2025-11-13
N/A,N/A,time-after-hours,STRZ,Starz Entertainment Corp.,"$180,428,330",Sep/2025,($1.44),1,,,1.0,2025-11-13
11/07/2024,($0.38),time-after-hours,PROF,Profound Medical Corp.,"$177,952,836",Sep/2025,($0.38),2,,,2.0,2025-11-13
N/A,N/A,time-after-hours,ANGX,"Angel Studios, Inc.","$176,316,450",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.24),time-not-supplied,RANI,"Rani Therapeutics Holdings, Inc.","$171,047,237",Sep/2025,($0.09),1,,,1.0,2025-11-13
N/A,($0.10),time-not-supplied,HUSA,Houston American Energy Corporation,"$163,797,298",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,JFB,JFB Construction Holdings,"$158,123,385",Sep/2025,,1,,,1.0,2025-11-13
11/25/2024,($0.16),time-after-hours,BHST,BioHarvest Sciences Inc.,"$149,414,167",Sep/2025,($0.14),2,,,2.0,2025-11-13
11/14/2024,($0.12),time-not-supplied,STEX,Streamex Corp.,"$142,641,329",Sep/2025,,N/A,,,,2025-11-13
11/13/2024,$0.03,time-after-hours,OWLT,"Owlet, Inc.","$139,764,572",Sep/2025,($0.38),1,,0.03,1.0,2025-11-13
N/A,N/A,time-after-hours,PEW,GrabAGun Digital Holdings Inc.,"$137,537,368",Sep/2025,$0.01,1,0.01,,1.0,2025-11-13
11/14/2024,($4.54),time-not-supplied,FBRX,"Forte Biosciences, Inc. ","$135,642,437",Sep/2025,($1.04),2,,,2.0,2025-11-13
11/14/2024,($0.32),time-not-supplied,SPRO,"Spero Therapeutics, Inc.","$132,246,779",Sep/2025,($0.25),1,,,1.0,2025-11-13
N/A,$0.01,time-after-hours,ICG,Intchains Group Limited,"$128,344,892",Sep/2025,,1,,0.01,1.0,2025-11-13
11/14/2024,($0.06),time-not-supplied,AISP,"Airship AI Holdings, Inc","$128,275,579",Sep/2025,$0.02,1,0.02,,1.0,2025-11-13
11/07/2024,$0.25,time-pre-market,SUNS,"Sunrise Realty Trust, Inc.","$126,425,688",Sep/2025,$0.29,2,0.29,0.25,2.0,2025-11-13
N/A,($0.06),time-not-supplied,MAMO,Massimo Group,"$123,673,622",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($1.37),time-not-supplied,HURA,"TuHURA Biosciences, Inc.","$122,614,969",Sep/2025,($0.15),3,,,3.0,2025-11-13
11/14/2024,($4.98),time-not-supplied,FGNX,FG Nexus Inc.,"$120,561,795",Sep/2025,$0.10,1,0.1,,1.0,2025-11-13
11/14/2024,($0.65),time-not-supplied,IKT,"Inhibikase Therapeutics, Inc.","$118,481,450",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,($0.29),time-not-supplied,IXHL,Incannex Healthcare Inc.,"$118,011,249",Sep/2025,($0.39),1,,,1.0,2025-11-13
11/06/2024,($0.24),time-after-hours,SERA,"Sera Prognostics, Inc.","$114,946,841",Sep/2025,($0.19),1,,,1.0,2025-11-13
11/14/2024,$0.05,time-not-supplied,FSI,Flexible Solutions International Inc.,"$111,883,743",Sep/2025,$0.05,2,0.05,0.05,2.0,2025-11-13
11/11/2024,($0.09),time-pre-market,BIOX,Bioceres Crop Solutions Corp.,"$111,241,815",Sep/2025,($0.04),2,,,2.0,2025-11-13
11/14/2024,$0.50,time-pre-market,EIC,Eagle Point Income Company Inc.,"$110,282,377",Sep/2025,$0.36,1,0.36,0.5,1.0,2025-11-13
11/14/2024,($0.20),time-not-supplied,GLSI,"Greenwich LifeSciences, Inc.","$110,268,779",Sep/2025,($0.30),2,,,2.0,2025-11-13
11/14/2024,$0.21,time-after-hours,LGCY,Legacy Education Inc.,"$108,784,183",Sep/2025,$0.15,1,0.15,0.21,1.0,2025-11-13
N/A,($0.51),time-after-hours,FOSL,"Fossil Group, Inc.","$105,419,323",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.12),time-not-supplied,EP,Empire Petroleum Corporation,"$104,307,879",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.19,time-not-supplied,AEI,Alset Inc.,"$101,976,358",Sep/2025,,1,,0.19,1.0,2025-11-13
11/14/2024,$0.02,time-not-supplied,RSSS,"Research Solutions, Inc","$101,767,336",Sep/2025,$0.01,1,0.01,0.02,1.0,2025-11-13
11/14/2024,($0.05),time-not-supplied,WWR,"Westwater Resources, Inc.","$100,884,517",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,$0.09,time-not-supplied,SOL,Emeren Group Ltd,"$95,971,433",Sep/2025,$0.03,1,0.03,0.09,1.0,2025-11-13
