Date,cape_shiller_pe
1970-01-01 00:00:00.000001881,18.47395230140494
1970-01-01 00:00:00.000001881,18.14725816499023
1970-01-01 00:00:00.000001881,18.27011914020499
1970-01-01 00:00:00.000001881,17.95010827822289
1970-01-01 00:00:00.000001881,18.869718693152592
1970-01-01 00:00:00.000001881,19.02871073111578
1970-01-01 00:00:00.000001881,18.116367187389738
1970-01-01 00:00:00.000001881,17.286243553973446
1970-01-01 00:00:00.000001881,16.724836648772897
1970-01-01 00:00:00.000001881,16.261989411181354
1970-01-01 00:00:00.000001881,16.47864231664487
1970-01-01 00:00:00.000001881,15.958754206105079
1970-01-01 00:00:00.000001882,15.678764160028743
1970-01-01 00:00:00.000001882,15.153861528363038
1970-01-01 00:00:00.000001882,15.091670299486745
1970-01-01 00:00:00.000001882,14.916997168375302
1970-01-01 00:00:00.000001882,14.567103202191758
1970-01-01 00:00:00.000001882,14.327404890131673
1970-01-01 00:00:00.000001882,15.240559761217828
1970-01-01 00:00:00.000001882,15.525429331463034
1970-01-01 00:00:00.000001882,16.081106624462315
1970-01-01 00:00:00.000001882,15.75558103052656
1970-01-01 00:00:00.000001882,15.192670313165339
1970-01-01 00:00:00.000001882,15.382128332081967
1970-01-01 00:00:00.000001883,15.27025911909857
1970-01-01 00:00:00.000001883,14.75759014617622
1970-01-01 00:00:00.000001883,15.05125412140164
1970-01-01 00:00:00.000001883,15.482067222036674
1970-01-01 00:00:00.000001883,15.335497637337067
1970-01-01 00:00:00.000001883,15.903388388583796
1970-01-01 00:00:00.000001883,15.948783127017029
1970-01-01 00:00:00.000001883,15.196810876629849
1970-01-01 00:00:00.000001883,15.494692425793458
1970-01-01 00:00:00.000001883,15.048056270223839
1970-01-01 00:00:00.000001883,15.408218142448874
1970-01-01 00:00:00.000001883,14.896403941887169
1970-01-01 00:00:00.000001884,14.432821721970727
1970-01-01 00:00:00.000001884,14.805960228816714
1970-01-01 00:00:00.000001884,14.736023454014473
1970-01-01 00:00:00.000001884,14.353453682579477
1970-01-01 00:00:00.000001884,13.46505031380491
1970-01-01 00:00:00.000001884,12.906876483666865
1970-01-01 00:00:00.000001884,13.043931585991672
1970-01-01 00:00:00.000001884,13.859813341769325
1970-01-01 00:00:00.000001884,13.569154744335725
1970-01-01 00:00:00.000001884,13.27325131913416
1970-01-01 00:00:00.000001884,13.304437602119732
1970-01-01 00:00:00.000001884,13.432292746944762
1970-01-01 00:00:00.000001885,13.129817425635967
1970-01-01 00:00:00.000001885,13.384817593597964
